SAMPLENAME	old_samplename	Monkey	Month..round.	Year	Month	Day	Cell.Type	simple_cell_type	Experiment	Other	Run	GIVENNAME	MAPPED	READS	MAP_percent	threshold	LibID	Month_timepoint
ZK22_62hm_2021421_Gr_PB__CD207_sampled_i512_01_S1_L001_R1_001.fastq	ZK22_62hm_2021421_Gr_PB__CD207_sampled_i512_01_S1_L001_R1_001.fastq	ZK22	62hm	2021	4	21	Gr	Gr	PB		CD207	ZK22 62hm 2021421 Gr PB  CD207	3380642	4000000	84.51605	100	GAGTTC	62.5
ZK22_63m_201554_Macrophage_Liver_cfu_CD206_sampled_i512_39_S33_L002_R1_001.fastq	ZK22_63m_201554_Macrophage_Liver_cfu_CD206_sampled_i512_39_S33_L002_R1_001.fastq	ZK22	63m	2015	5	4	Macrophage	Macrophage	Liver	cfu	CD206	ZK22 63m 201554 Macrophage Liver cfu CD206	3449826	4000000	86.24565	100	GAGTTC	63
ZK22_63m_201554_NK_Liver_cfu_CD206_sampled_i512_38_S32_L002_R1_001.fastq	ZK22_63m_201554_NK_Liver_cfu_CD206_sampled_i512_38_S32_L002_R1_001.fastq	ZK22	63m	2015	5	4	NK	NK	Liver	cfu	CD206	ZK22 63m 201554 NK Liver cfu CD206	3486159	4000000	87.153975	100	GAGTTC	63
ZK22_63m_201554_B_Liver_cfu_CD206_sampled_i512_37_S31_L002_R1_001.fastq	ZK22_63m_201554_B_Liver_cfu_CD206_sampled_i512_37_S31_L002_R1_001.fastq	ZK22	63m	2015	5	4	B	B	Liver	cfu	CD206	ZK22 63m 201554 B Liver cfu CD206	3336078	4000000	83.40195	100	GAGTTC	63
ZK22_63m_201554_T_Liver_cfu_CD206_sampled_i512_36_S30_L002_R1_001.fastq	ZK22_63m_201554_T_Liver_cfu_CD206_sampled_i512_36_S30_L002_R1_001.fastq	ZK22	63m	2015	5	4	T	T	Liver	cfu	CD206	ZK22 63m 201554 T Liver cfu CD206	3415934	4000000	85.39835	100	GAGTTC	63
ZK22_63m_2015427_Macrophage_BAL_cfu_CD206_sampled_i512_35_S29_L002_R1_001.fastq	ZK22_63m_2015427_Macrophage_BAL_cfu_CD206_sampled_i512_35_S29_L002_R1_001.fastq	ZK22	63m	2015	4	27	Macrophage	Macrophage	BAL	cfu	CD206	ZK22 63m 2015427 Macrophage BAL cfu CD206	3401809	4000000	85.045225	100	GAGTTC	63
ZK22_63m_2021427_NK_BAL_cfu_CD206_sampled_i512_33_S28_L002_R1_001.fastq	ZK22_63m_2021427_NK_BAL_cfu_CD206_sampled_i512_33_S28_L002_R1_001.fastq	ZK22	63m	2021	4	27	NK	NK	BAL	cfu	CD206	ZK22 63m 2021427 NK BAL cfu CD206	1251006	1603310	78.02645777	100	GAGTTC	63
ZK22_63m_2021427_B_BAL_cfu_CD206_sampled_i512_32_S27_L002_R1_001.fastq	ZK22_63m_2021427_B_BAL_cfu_CD206_sampled_i512_32_S27_L002_R1_001.fastq	ZK22	63m	2021	4	27	B	B	BAL	cfu	CD206	ZK22 63m 2021427 B BAL cfu CD206	381712	1479596	25.79839362	100	GAGTTC	63
ZK22_63m_2021427_T_BAL_cfu_CD206_sampled_i512_31_S26_L002_R1_001.fastq	ZK22_63m_2021427_T_BAL_cfu_CD206_sampled_i512_31_S26_L002_R1_001.fastq	ZK22	63m	2021	4	27	T	T	BAL	cfu	CD206	ZK22 63m 2021427 T BAL cfu CD206	3272731	4000000	81.818275	100	GAGTTC	63
ZK22_63m_2021427_Macrophage_Colon_cfu_CD206_sampled_i512_28_S25_L002_R1_001.fastq	ZK22_63m_2021427_Macrophage_Colon_cfu_CD206_sampled_i512_28_S25_L002_R1_001.fastq	ZK22	63m	2021	4	27	Macrophage	Macrophage	Colon	cfu	CD206	ZK22 63m 2021427 Macrophage Colon cfu CD206	1986742	2437624	81.50321789	100	GAGTTC	63
