SAMPLENAME	Monkey	Month..round.	Year	Month	Day	Cell.Type	simple_cell_type	Experiment	Other	Run	GIVENNAME	MAPPED	READS	MAP_percent	threshold	LibID	Month_timepoint
ZG66_106m_2021928_T_spleen__CD212_sampled_i512_11_S11_L002_R1_001.fastq	ZG66	106m	2021	9	28	T	T	spleen	NA	CD212	ZG66 106m 2021928 T spleen  CD212	2039833	4000000	50.995825	100	GTAGCC	106
ZG66_106m_2021928_CD16p_CXCR3p_PB__CD212_sampled_i512_08_S8_L002_R1_001.fastq	ZG66	106m	2021	9	28	CD16p_CXCR3p	CD16p_CXCR3p	PB	NA	CD212	ZG66 106m 2021928 CD16p_CXCR3p PB  CD212	108870	2399095	4.537961	100	GTAGCC	106
ZG66_106m_2021928_NK_spleen__CD212_sampled_i512_13_S13_L002_R1_001.fastq	ZG66	106m	2021	9	28	NK	NK	spleen	NA	CD212	ZG66 106m 2021928 NK spleen  CD212	1477246	3255589	45.375691	100	GTAGCC	106
ZG66_105hm_2021914_CD56p_PB__CD212_sampled_i512_02_S2_L002_R1_001.fastq	ZG66	105hm	2021	9	14	CD56p	CD56+	PB	NA	CD212	ZG66 105hm 2021914 CD56p PB  CD212	414335	2710497	15.286311	100	GTAGCC	105.5
ZG66_106m_2021928_T_jejunum__CD212_sampled_i512_25_S23_L002_R1_001.fastq	ZG66	106m	2021	9	28	T	T	jejunum	NA	CD212	ZG66 106m 2021928 T jejunum  CD212	2401296	3173543	75.666093	100	GTAGCC	106
ZG66_106m_2021928_B_jejunum__CD212_sampled_i512_26_S24_L002_R1_001.fastq	ZG66	106m	2021	9	28	B	B	jejunum	NA	CD212	ZG66 106m 2021928 B jejunum  CD212	1215699	1923965	63.187168	100	GTAGCC	106
ZG66_106m_2021928_DN_CXCR3p_PB__CD212_sampled_i512_09_S9_L002_R1_001.fastq	ZG66	106m	2021	9	28	DN_CXCR3p	DN_CXCR3p	PB	NA	CD212	ZG66 106m 2021928 DN_CXCR3p PB  CD212	1536533	1819513	84.447487	100	GTAGCC	106
ZG66_106m_2021928_CD56p_PB__CD212_sampled_i512_07_S7_L002_R1_001.fastq	ZG66	106m	2021	9	28	CD56p	CD56+	PB	NA	CD212	ZG66 106m 2021928 CD56p PB  CD212	2792249	3431704	81.366254	100	GTAGCC	106
ZG66_106m_2021928_B_BAL__CD212_sampled_i512_21_S20_L002_R1_001.fastq	ZG66	106m	2021	9	28	B	B	BAL	NA	CD212	ZG66 106m 2021928 B BAL  CD212	1141125	2159559	52.840649	100	GTAGCC	106
ZG66_106m_2021928_B_colon__CD212_sampled_i512_33_S28_L002_R1_001.fastq	ZG66	106m	2021	9	28	B	B	colon	NA	CD212	ZG66 106m 2021928 B colon  CD212	3126212	3651650	85.610943	100	GTAGCC	106
